link,address,area,bedrooms,bathrooms,garages,others,price,condo,date,neighborhood
https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-61m2-aluguel-RS1350-id-2521749882/,"Parque Industrial, São José dos Campos - SP",61,2,2.0,1.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Salão de festas",1350,203.0,2021-05-30 15:16:00,Parque Industrial
https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-ema-bairros-sao-jose-dos-campos-com-garagem-140m2-aluguel-RS4000-id-2521200179/,"Avenida Heitor Villa Lobos, 500 - Vila Ema, São José dos Campos - SP",140,3,4.0,2.0,"Varanda gourmet, Aceita animais",4000,700.0,2021-05-30 15:16:00,Vila Ema
https://www.vivareal.com.br/imovel/apartamento-4-quartos-bosque-dos-eucaliptos-bairros-sao-jose-dos-campos-com-garagem-127m2-aluguel-RS2300-id-2517997088/,"Avenida Andrômeda, 2740 - Bosque dos Eucaliptos, São José dos Campos - SP",127,4,3.0,2.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Salão de festas",2300,680.0,2021-05-30 15:16:00,Bosque dos Eucaliptos
https://www.vivareal.com.br/imovel/apartamento-4-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-154m2-aluguel-RS3000-id-2520705033/,"Parque Residencial Aquarius, São José dos Campos - SP",154,4,5.0,2.0,0,3000,734.0,2021-05-30 15:16:00,Parque Residencial Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-vale-do-sol-bairros-sao-jose-dos-campos-com-garagem-68m2-aluguel-RS1600-id-2517847388/,"Avenida Feira de Santana - Jardim Vale do Sol, São José dos Campos - SP",68,2,1.0,1.0,"Elevador, Churrasqueira, Salão de festas, Playground, Varanda",1600,480.0,2021-05-30 15:16:00,Jardim Vale do Sol
https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-ema-bairros-sao-jose-dos-campos-com-garagem-172m2-venda-RS1590000-id-2520696651/,"Vila Ema, São José dos Campos - SP",172,3,5.0,3.0,"Área de serviço, Churrasqueira, Salão de festas, Playground, Academia",4300,1200.0,2021-05-30 15:16:00,Vila Ema
https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-93m2-venda-RS500000-id-2515804980/,"Rua Armando de Oliveira Cobra - Parque Residencial Aquarius, São José dos Campos - SP",93,3,2.0,2.0,"Piscina, Área de serviço, Churrasqueira, Varanda, Quadra poliesportiva",2700,650.0,2021-05-30 15:16:00,Parque Residencial Aquarius
https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-39m2-aluguel-RS2290-id-2512239688/,"Jardim Aquarius, São José dos Campos - SP",39,1,1.0,1.0,"Segurança 24h, Salão de jogos",2290,270.0,2021-05-30 15:16:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-dimas-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1300-id-2517258435/,"Rua Maestro Egydio Pinto, 158 - Jardim São Dimas, São José dos Campos - SP",70,2,2.0,1.0,0,1300,487.0,2021-05-30 15:16:00,Jardim São Dimas
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-65m2-aluguel-RS1200-id-2520789793/,"Rua Pedro Tursi, 331 - Jardim Satélite, São José dos Campos - SP",65,2,1.0,1.0,"Condomínio fechado, Portão eletrônico, Portaria 24h",1200,0.0,2021-05-30 15:16:00,Jardim Satélite
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-68m2-aluguel-RS1300-id-2514490377/,"Avenida Nove de Julho, 579 - Vila Adyana, São José dos Campos - SP",68,2,2.0,1.0,0,1300,335.0,2021-05-30 15:16:00,Vila Adyana
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-cristina-bairros-sao-jose-dos-campos-50m2-aluguel-RS900-id-2518114033/,"Vila Cristina, São José dos Campos - SP",50,2,1.0,0.0,Armário na cozinha,900,297.0,2021-05-30 15:16:00,Vila Cristina
https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-75m2-venda-RS530000-id-2519580607/,"Rua dos Lambaris, 100 - Parque Residencial Aquarius, São José dos Campos - SP",75,2,1.0,2.0,"Elevador, Piscina, Churrasqueira, Salão de festas, Playground",2200,540.0,2021-05-30 15:16:00,Parque Residencial Aquarius
https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-82m2-aluguel-RS2700-id-2520730747/,"Parque Residencial Aquarius, São José dos Campos - SP",82,3,1.0,2.0,0,2700,0.0,2021-05-30 15:16:00,Parque Residencial Aquarius
https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS1000-id-2513447300/,"Rua Luiz Jacinto, 100 - Centro, São José dos Campos - SP",45,1,1.0,1.0,"Elevador, Ar-condicionado",1000,505.0,2021-05-30 15:16:00,Centro
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-industrial-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1400-id-2517978188/,"Vila Industrial, São José dos Campos - SP",70,2,1.0,1.0,0,1400,300.0,2021-05-30 15:16:00,Vila Industrial
https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-153m2-aluguel-RS3200-id-2520668144/,"Parque Residencial Aquarius, São José dos Campos - SP",153,3,3.0,2.0,"Elevador, Piscina, Churrasqueira, Salão de festas, Playground",3200,750.0,2021-05-30 15:16:00,Parque Residencial Aquarius
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-alvorada-bairros-sao-jose-dos-campos-com-garagem-76m2-aluguel-RS2000-id-2516834598/,"Jardim Alvorada, São José dos Campos - SP",76,3,2.0,1.0,"Piscina, Área de serviço, Churrasqueira, Armário na cozinha",2000,400.0,2021-05-30 15:16:00,Jardim Alvorada
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-67m2-aluguel-RS2300-id-2520564285/,"Jardim Aquarius, São José dos Campos - SP",67,2,2.0,2.0,"Mobiliado, Piscina, Área de serviço, Varanda, Quadra poliesportiva",2300,300.0,2021-05-30 15:16:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-59m2-aluguel-RS1100-id-2515197548/,"Vila Adyana, São José dos Campos - SP",59,3,2.0,1.0,"Piscina, Garagem, Cozinha",1100,640.0,2021-05-30 15:16:00,Vila Adyana
