id,link,address,area,bedrooms,bathrooms,garages,others,price,condo,date
2518156099,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-130m2-aluguel-RS5600-id-2518156099/,"Jardim Aquarius, São José dos Campos - SP",130,3 Quartos,3 Banheiros,2 Vagas,"Mobiliado
Segurança 24h",R$ 5.600 /mês,R$ 673,2021-05-14 09:02
2514200103,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-esplanada-ii-bairros-sao-jose-dos-campos-com-garagem-40m2-aluguel-RS1740-id-2514200103/,"Jardim Esplanada II, São José dos Campos - SP",40,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Elevador
Área de serviço
Sistema de alarme
TV a cabo",R$ 1.740 /mês,R$ 250,2021-05-14 09:02
2491246386,https://www.vivareal.com.br/imovel/apartamento-4-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-200m2-venda-RS1550000-id-2491246386/,"Parque Residencial Aquarius, São José dos Campos - SP",200,4 Quartos,6 Banheiros,3 Vagas,"Área de serviço
Churrasqueira
Salão de festas
Playground
Varanda","R$ 6.000 /mês
R$ 1.550.000",R$ 1.160,2021-05-14 09:02
2508928623,https://www.vivareal.com.br/imovel/apartamento-1-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-50m2-aluguel-RS1700-id-2508928623/,"Parque Residencial Aquarius, São José dos Campos - SP",50,1 Quarto,1 Banheiro,-- Vaga,,R$ 1.700 /mês,R$ 320,2021-05-14 09:02
2515612309,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-ii-bairros-sao-jose-dos-campos-com-garagem-47m2-venda-RS150000-id-2515612309/,"Jardim Santa Inês II, São José dos Campos - SP",47,2 Quartos,1 Banheiro,1 Vaga,Sala de jantar,"R$ 610 /mês
R$ 150.000",R$ 290,2021-05-14 09:02
2517978101,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS750-id-2517978101/,"Jardim Santa Inês III, São José dos Campos - SP",70,2 Quartos,1 Banheiro,1 Vaga,,R$ 750 /mês,R$ 228,2021-05-14 09:02
2517977291,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-dimas-bairros-sao-jose-dos-campos-com-garagem-66m2-aluguel-RS890-id-2517977291/,"Jardim São Dimas, São José dos Campos - SP",66,2 Quartos,1 Banheiro,1 Vaga,,R$ 890 /mês,R$ 447,2021-05-14 09:02
2516289485,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-40m2-aluguel-RS2850-id-2516289485/,"Rua Heitor Vieira Júnior - Jardim Aquarius, São José dos Campos - SP",40,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Elevador
Piscina
Área de serviço
Salão de festas",R$ 2.850 /mês,R$ 320,2021-05-14 09:02
2518208825,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-sao-jose-dos-campos-com-garagem-60m2-aluguel-RS2000-id-2518208825/,"Rua Eugênio Bonadio, 335 - Centro, São José dos Campos - SP",60,2 Quartos,2 Banheiros,1 Vaga,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira",R$ 2.000 /mês,R$ 380,2021-05-14 09:02
2479327690,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-409m2-venda-RS4000000-id-2479327690/,"Avenida do Tubarão - Jardim Aquarius, São José dos Campos - SP",409,4 Quartos,6 Banheiros,6 Vagas,"Piscina
Área de serviço
Churrasqueira
Sauna
TV a cabo","R$ 21.000 /mês
R$ 4.000.000",R$ 2.500,2021-05-14 09:02
2517755832,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-63m2-aluguel-RS1800-id-2517755832/,"Rua João Teixeira Neto, 32 - Jardim Aquarius, São José dos Campos - SP",63,2 Quartos,1 Banheiro,1 Vaga,"Elevador
Área de serviço
Salão de festas
Condomínio fechado
Conexão à internet",R$ 1.800 /mês,R$ 370,2021-05-14 09:02
2517086131,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-das-industrias-bairros-sao-jose-dos-campos-com-garagem-96m2-aluguel-RS1600-id-2517086131/,"Rua dos Alecrins, 617 - Jardim das Indústrias, São José dos Campos - SP",96,3 Quartos,2 Banheiros,2 Vagas,,R$ 1.600 /mês,R$ 700,2021-05-14 09:02
2505059678,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-133m2-venda-RS555000-id-2505059678/,"Jardim Aquarius, São José dos Campos - SP",133,4 Quartos,2 Banheiros,2 Vagas,"Piscina
Área de serviço
Churrasqueira","R$ 2.100 /mês
R$ 555.000",R$ 670,2021-05-14 09:02
