id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawled_at
2518009025,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS10000-id-2518009025/,"Apartamento com 3 Quartos para Aluguel, 70m²","Vila Adyana, São José dos Campos - SP",70,3 Quartos,5 Banheiros,4 Vagas,,R$ 10.000 /mês,R$ 2.500,2021-05-14 08:40
2508285177,https://www.vivareal.com.br/imovel/apartamento-2-quartos-eugenio-de-melo-bairros-sao-jose-dos-campos-com-garagem-37m2-aluguel-RS700-id-2508285177/,"Apartamento com 2 Quartos para Aluguel, 37m²","Eugênio de Melo, São José dos Campos - SP",37,2 Quartos,1 Banheiro,1 Vaga,,R$ 700 /mês,R$ 270,2021-05-14 08:40
2517460476,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-sanches-bairros-sao-jose-dos-campos-com-garagem-91m2-aluguel-RS2180-id-2517460476/,"Apartamento com 3 Quartos para Aluguel, 91m²","Vila Sanches, São José dos Campos - SP",91,3 Quartos,3 Banheiros,1 Vaga,,R$ 2.180 /mês,R$ 430,2021-05-14 08:40
2519920044,https://www.vivareal.com.br/imovel/apartamento-2-quartos-floradas-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS850-id-2519920044/,"Apartamento com 2 Quartos para Aluguel, 70m²","Floradas de São José, São José dos Campos - SP",70,2 Quartos,1 Banheiro,1 Vaga,,R$ 850 /mês,R$ 248,2021-05-14 08:40
2518008421,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1574-id-2518008421/,"Apartamento com 3 Quartos para Aluguel, 70m²","Jardim América, São José dos Campos - SP",70,3 Quartos,2 Banheiros,1 Vaga,,R$ 1.574 /mês,R$ 406,2021-05-14 08:40
2519635864,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-77m2-aluguel-RS2350-id-2519635864/,"Apartamento com 2 Quartos para Aluguel, 77m²","Parque Residencial Aquarius, São José dos Campos - SP",77,2 Quartos,2 Banheiros,1 Vaga,,R$ 2.350 /mês,R$ 372,2021-05-14 08:40
2518842979,https://www.vivareal.com.br/imovel/apartamento-2-quartos-conjunto-residencial-galo-branco-bairros-sao-jose-dos-campos-com-garagem-47m2-aluguel-RS900-id-2518842979/,"Apartamento com 2 Quartos para Aluguel, 47m²","Conjunto Residencial Galo Branco, São José dos Campos - SP",47,2 Quartos,1 Banheiro,1 Vaga,,R$ 900 /mês,R$ 230,2021-05-14 08:40
2518238414,https://www.vivareal.com.br/imovel/apartamento-1-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS3000-id-2518238414/,"Apartamento com Quarto para Aluguel, 50m²","Parque Residencial Aquarius, São José dos Campos - SP",50,1 Quarto,2 Banheiros,2 Vagas,,R$ 3.000 /mês,R$ 373,2021-05-14 08:40
2519827087,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-ema-bairros-sao-jose-dos-campos-com-garagem-65m2-aluguel-RS1850-id-2519827087/,"Apartamento com 3 Quartos para Aluguel, 65m²","Vila Ema, São José dos Campos - SP",65,3 Quartos,2 Banheiros,1 Vaga,,R$ 1.850 /mês,R$ 400,2021-05-14 08:40
2518009812,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-paineiras-ii-bairros-sao-jose-dos-campos-com-garagem-49m2-aluguel-RS710-id-2518009812/,"Apartamento com 2 Quartos para Aluguel, 49m²","Jardim das Paineiras II, São José dos Campos - SP",49,2 Quartos,1 Banheiro,1 Vaga,,R$ 710 /mês,R$ 150,2021-05-14 08:40
2518008413,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-sao-dimas-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS1250-id-2518008413/,"Apartamento com Quarto para Aluguel, 45m²","Jardim São Dimas, São José dos Campos - SP",45,1 Quarto,1 Banheiro,1 Vaga,,R$ 1.250 /mês,R$ 790,2021-05-14 08:40
2518008965,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-iracema-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS700-id-2518008965/,"Apartamento com 2 Quartos para Aluguel, 45m²","Vila Iracema, São José dos Campos - SP",45,2 Quartos,1 Banheiro,1 Vaga,,R$ 700 /mês,R$ 277,2021-05-14 08:40
2518010176,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-aparecida-bairros-sao-jose-dos-campos-com-garagem-42m2-aluguel-RS1100-id-2518010176/,"Apartamento com Quarto para Aluguel, 42m²","Jardim Aparecida, São José dos Campos - SP",42,1 Quarto,1 Banheiro,1 Vaga,,R$ 1.100 /mês,R$ 500,2021-05-14 08:40
2518008049,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-oswaldo-cruz-bairros-sao-jose-dos-campos-com-garagem-40m2-aluguel-RS1800-id-2518008049/,"Apartamento com Quarto para Aluguel, 40m²","Jardim Oswaldo Cruz, São José dos Campos - SP",40,1 Quarto,1 Banheiro,1 Vaga,,R$ 1.800 /mês,R$ 241,2021-05-14 08:40
