,link,address,area,bedrooms,bathrooms,garages,others,price,condo,date,neighborhood,zona
21,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-43m2-aluguel-RS850-id-2523088186/,"Jardim Satélite, São José dos Campos - SP",43,2,1,1.0,"Piscina, Área de serviço, TV a cabo, Cozinha, Interfone",850,260.0,2021-06-20 09:31:00,Jardim Satélite,Sul
35,https://www.vivareal.com.br/imovel/apartamento-2-quartos-palmeiras-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-47m2-venda-RS199000-id-2515528247/,"Rua José Cobra - Palmeiras de São José, São José dos Campos - SP",47,2,1,1.0,"Elevador, Churrasqueira, Salão de festas, Playground, Academia",1530,215.0,2021-06-20 09:31:00,Palmeiras de São José,Sul
52,https://www.vivareal.com.br/imovel/apartamento-2-quartos-palmeiras-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1600-id-2517976145/,"Palmeiras de São José, São José dos Campos - SP",70,2,2,1.0,0,1600,400.0,2021-06-20 09:31:00,Palmeiras de São José,Sul
55,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-80m2-venda-RS371000-id-2522815602/,"Parque Industrial, São José dos Campos - SP",80,3,2,1.0,"Elevador, Piscina, Área de serviço, Condomínio fechado, Sistema de alarme",1250,480.0,2021-06-20 09:31:00,Parque Industrial,Sul
63,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-58m2-aluguel-RS850-id-2515068875/,"Avenida Guadalupe - Jardim América, São José dos Campos - SP",58,2,1,1.0,0,850,280.0,2021-06-20 09:31:00,Jardim América,Sul
72,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1700-id-2523571944/,"Rua Koichi Matsumura, 103 - Jardim América, São José dos Campos - SP",70,3,1,2.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Varanda",1700,430.0,2021-06-20 09:31:00,Jardim América,Sul
80,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-55m2-aluguel-RS1800-id-2523697254/,"Rua Pedro Tursi - Jardim Satélite, São José dos Campos - SP",55,2,1,1.0,"Mobiliado, Elevador, Churrasqueira, Salão de festas, Segurança 24h",1800,0.0,2021-06-20 09:31:00,Jardim Satélite,Sul
103,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-morumbi-bairros-sao-jose-dos-campos-com-garagem-71m2-aluguel-RS900-id-2522265581/,"Rua Gisele Martins - Cidade Morumbi, São José dos Campos - SP",71,2,2,2.0,"Piscina, Área de serviço, Churrasqueira, Condomínio fechado, Cozinha",900,414.0,2021-06-20 09:31:00,Cidade Morumbi,Sul
119,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-vale-do-sol-bairros-sao-jose-dos-campos-com-garagem-63m2-aluguel-RS1100-id-2522008466/,"Jardim Vale do Sol, São José dos Campos - SP",63,2,1,1.0,0,1100,241.0,2021-06-20 09:31:00,Jardim Vale do Sol,Sul
124,https://www.vivareal.com.br/imovel/apartamento-3-quartos-floradas-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-74m2-aluguel-RS1500-id-2520392893/,"Rua da Alegria, 0 - Floradas de São José, São José dos Campos - SP",74,3,2,2.0,"Elevador, Salão de festas, Jardim, Condomínio fechado, Aceita animais",1500,595.0,2021-06-20 09:31:00,Floradas de São José,Sul
130,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-56m2-aluguel-RS750-id-2524004790/,"Avenida Papa João Paulo I - Jardim Satélite, São José dos Campos - SP",56,2,1,1.0,"Área de serviço, Varanda, Cozinha",750,300.0,2021-06-20 09:31:00,Jardim Satélite,Sul
146,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-47m2-aluguel-RS900-id-2521112474/,"Rua Camocim - Parque Industrial, São José dos Campos - SP",47,2,1,2.0,0,900,180.0,2021-06-20 09:31:00,Parque Industrial,Sul
150,https://www.vivareal.com.br/imovel/apartamento-3-quartos-floradas-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-100m2-aluguel-RS2850-id-2504142023/,"Floradas de São José, São José dos Campos - SP",100,3,3,2.0,"Piscina, Área de serviço, Churrasqueira, Escritório, Interfone",2850,490.0,2021-06-20 09:31:00,Floradas de São José,Sul
158,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-65m2-aluguel-RS1400-id-2523465277/,"Rua Polar, 200 - Jardim Satélite, São José dos Campos - SP",65,2,1,2.0,0,1400,408.0,2021-06-20 09:32:00,Jardim Satélite,Sul
222,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS800-id-2520541132/,"Rua Antares - Jardim Satélite, São José dos Campos - SP",50,2,1,1.0,"Piscina, Sauna, Quadra poliesportiva, Lavanderia, Garagem",800,333.0,2021-06-20 09:32:00,Jardim Satélite,Sul
224,https://www.vivareal.com.br/imovel/apartamento-2-quartos-palmeiras-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-80m2-aluguel-RS1800-id-2522677276/,"Palmeiras de São José, São José dos Campos - SP",80,2,1,1.0,"Piscina, Churrasqueira, Playground, Vigia, Interfone",1800,520.0,2021-06-20 09:32:00,Palmeiras de São José,Sul
244,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bosque-dos-eucaliptos-bairros-sao-jose-dos-campos-com-garagem-91m2-aluguel-RS2600-id-2523116111/,"Bosque dos Eucaliptos, São José dos Campos - SP",91,3,1,2.0,"Piscina, Área de serviço, Churrasqueira, Salão de festas, Playground",2600,600.0,2021-06-20 09:32:00,Bosque dos Eucaliptos,Sul
247,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bosque-dos-eucaliptos-bairros-sao-jose-dos-campos-com-garagem-49m2-venda-RS150000-id-2516165667/,"Rua Lamartine Maia da Silva Torres - Bosque dos Eucaliptos, São José dos Campos - SP",49,2,1,1.0,"Piscina, Área de serviço, Churrasqueira, Varanda, Quadra poliesportiva",650,304.0,2021-06-20 09:32:00,Bosque dos Eucaliptos,Sul
264,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-64m2-aluguel-RS1300-id-2521204286/,"Rua Paissandu - Jardim América, São José dos Campos - SP",64,2,1,1.0,0,1300,0.0,2021-06-20 09:32:00,Jardim América,Sul
269,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-93m2-venda-RS543000-id-2515311585/,"Avenida Cidade Jardim - Jardim Satélite, São José dos Campos - SP",93,3,2,2.0,"Mobiliado, Ar-condicionado, Quadra poliesportiva, Escritório, Armário na cozinha",3000,711.0,2021-06-20 09:32:00,Jardim Satélite,Sul
272,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-america-bairros-sao-jose-dos-campos-57m2-venda-RS240000-id-2520266281/,"Rua Haiti - Jardim América, São José dos Campos - SP",57,2,1,0.0,"Piscina, Churrasqueira, Quadra poliesportiva",1300,0.0,2021-06-20 09:32:00,Jardim América,Sul
288,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-65m2-aluguel-RS1300-id-2519390005/,"Avenida Cidade Jardim - Jardim Satélite, São José dos Campos - SP",65,2,1,1.0,0,1300,420.0,2021-06-20 09:32:00,Jardim Satélite,Sul
290,https://www.vivareal.com.br/imovel/apartamento-3-quartos-floradas-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-100m2-aluguel-RS2900-id-2523386219/,"Rua José Alves dos Santos, 0 - Floradas de São José, São José dos Campos - SP",100,3,2,2.0,"Elevador, Piscina, Churrasqueira, Salão de festas, Playground",2900,510.0,2021-06-20 09:32:00,Floradas de São José,Sul
293,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-morumbi-bairros-sao-jose-dos-campos-com-garagem-60m2-aluguel-RS1580-id-2513898957/,"Rua Gisele Martins, 285 - Cidade Morumbi, São José dos Campos - SP",60,2,1,1.0,"Piscina, Churrasqueira, Condomínio fechado, Aceita animais",1580,0.0,2021-06-20 09:32:00,Cidade Morumbi,Sul
305,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS900-id-2521675455/,"Rua Antares, 0 - Jardim Satélite, São José dos Campos - SP",45,2,1,1.0,"Piscina, Churrasqueira, Salão de festas, Playground, Academia",900,320.0,2021-06-20 09:32:00,Jardim Satélite,Sul
327,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-48m2-aluguel-RS800-id-2523571650/,"Jardim Satélite, São José dos Campos - SP",48,1,1,1.0,"Mobiliado, Área de serviço, Cozinha, Interfone",800,213.0,2021-06-20 09:33:00,Jardim Satélite,Sul
333,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oriente-bairros-sao-jose-dos-campos-com-garagem-64m2-aluguel-RS1500-id-2518838157/,"Rua Tottoni, 576 - Jardim Oriente, São José dos Campos - SP",64,2,2,1.0,Vista para o mar,1500,290.0,2021-06-20 09:33:00,Jardim Oriente,Sul
337,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1100-id-2507829693/,"Avenida João Batista de Souza Soares, 2251 - Jardim América, São José dos Campos - SP",70,3,1,1.0,"Elevador, Piscina, Churrasqueira, Salão de festas, Jardim",1100,450.0,2021-06-20 09:33:00,Jardim América,Sul
355,https://www.vivareal.com.br/imovel/apartamento-4-quartos-floradas-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-110m2-aluguel-RS2200-id-2522281992/,"Rua José Alves dos Santos - Floradas de São José, São José dos Campos - SP",110,4,3,2.0,0,2200,570.0,2021-06-20 09:33:00,Floradas de São José,Sul
