link,address,area,bedrooms,bathrooms,garages,others,price,condo,date,neighborhood
https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-118m2-venda-RS1015000-id-2498515847/,"Rua Laurent Martins, 1 - Jardim Esplanada, São José dos Campos - SP",118,4,3,2.0,0,3900,680.0,2021-06-20 09:35:00,Jardim Esplanada
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-70m2-venda-RS510000-id-2523839588/,"Jardim Aquarius, São José dos Campos - SP",70,2,1,1.0,"Condomínio fechado, Espaço gourmet, Lavanderia, Varanda gourmet, Cozinha",2200,520.0,2021-06-20 09:35:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-das-flores-bairros-sao-jose-dos-campos-20m2-aluguel-RS600-id-2520024811/,"Avenida Antonia Natalia Campos de Assis - Vila das Flores, São José dos Campos - SP",20,1,1,0.0,0,600,0.0,2021-06-20 09:35:00,Vila das Flores
https://www.vivareal.com.br/imovel/apartamento-2-quartos-bosque-dos-eucaliptos-bairros-sao-jose-dos-campos-com-garagem-58m2-aluguel-RS850-id-2524079273/,"Rua Ipatinga - Bosque dos Eucaliptos, São José dos Campos - SP",58,2,1,1.0,"Piscina, Churrasqueira, Salão de festas, Playground, Quadra poliesportiva",850,434.0,2021-06-20 09:35:00,Bosque dos Eucaliptos
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-74m2-aluguel-RS2500-id-2522754693/,"Rua Doutor Jorge de Oliveira Coutinho, 280 - Jardim Aquarius, São José dos Campos - SP",74,2,3,2.0,"Elevador, Piscina, Churrasqueira, Salão de festas, Academia",2500,403.0,2021-06-20 09:35:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-71m2-aluguel-RS2500-id-2523809423/,"Jardim Aquarius, São José dos Campos - SP",71,2,2,2.0,"Elevador, Piscina, Churrasqueira, Varanda, Condomínio fechado",2500,565.0,2021-06-20 09:35:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-46m2-aluguel-RS1500-id-2521316579/,"Avenida Cidade Jardim - Jardim Satélite, São José dos Campos - SP",46,2,1,1.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Quadra poliesportiva",1500,0.0,2021-06-20 09:35:00,Jardim Satélite
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-das-industrias-bairros-sao-jose-dos-campos-com-garagem-143m2-aluguel-RS4000-id-2522264377/,"Jardim das Indústrias, São José dos Campos - SP",143,3,3,3.0,"Academia, Espaço gourmet, Quadra de tênis, Segurança 24h, Salão de jogos",4000,830.0,2021-06-20 09:35:00,Jardim das Indústrias
https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-esplanada-ii-bairros-sao-jose-dos-campos-com-garagem-157m2-aluguel-RS5000-id-2522264376/,"Jardim Esplanada II, São José dos Campos - SP",157,4,4,3.0,"Espaço gourmet, Spa, Quadra de tênis, Quadra de squash, Segurança 24h",5000,830.0,2021-06-20 09:35:00,Jardim Esplanada II
https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-65m2-aluguel-RS1600-id-2520543328/,"Parque Industrial, São José dos Campos - SP",65,2,1,1.0,"Elevador, Piscina, Churrasqueira, Salão de festas, Playground",1600,330.0,2021-06-20 09:35:00,Parque Industrial
